Date,Type,Registration,Operator,Fatalities,Location,Latitude,Longitude
03-JAN-2009,Learjet 45XR,N279AJ,03-JAN-2009,0,Telluride Re...,-21.1,55.6
04-JAN-2009,Cessna 650 Citation VII,XA-PYN,04-JAN-2009,0,Vancouver In...,49.2974699,-123.0264071
04-JAN-2009,Cessna 550 Citation II,N815MA,04-JAN-2009,0,Wilmington-N...,39.7459468,-75.546589
04-JAN-2009,Basler Turbo 67 (DC-3T),C-GEAJ,04-JAN-2009,0,Tony Camp,44.8833197,-123.998057
09-JAN-2009,Cessna 208 Caravan I,EP-858,09-JAN-2009,0,near Intuto,-3.4900967,-74.7811192
11-JAN-2009,Xian MA60,RP-C8893,11-JAN-2009,0,Caticlan-Mal...,47.06979,22.81441
13-JAN-2009,Antonov An-24RV,S9-KAS,13-JAN-2009,0,Bosaso-Bende...,5.55718,7.63676
15-JAN-2009,Ilyushin Il-76MD,RA-76825,15-JAN-2009,4,Makhachkala ...,42.9830241,47.5048717
15-JAN-2009,Ilyushin Il-76MD,RA-76827,15-JAN-2009,0,Makhachkala ...,42.9830241,47.5048717
15-JAN-2009,Learjet 35A,C-GRFO,15-JAN-2009,0,Casablanca-M...,33.5950627,-7.6187768
16-JAN-2009,Beech 100 King Air,C-GNAA,16-JAN-2009,0,"Island Lake,...",42.2761341,-88.1920272
20-JAN-2009,Bombardier Global 5000,C-GERS,20-JAN-2009,0,Wichita-Mid-...,50.9747778,-0.1155702
27-JAN-2009,Cessna 560 Citation V,OE-GAA,27-JAN-2009,0,Novosibirsk-...,55.0282171,82.9234509
30-JAN-2009,C-17A Globemaster III,96-0002,30-JAN-2009,0,Bagram Air B...,34.9399083,69.2686001
01-FEB-2009,Airbus A320-232,,01-FEB-2009,0,Delhi-Indira...,28.5548974,77.0846746
04-FEB-2009,AMI DC-3-65TP,N834TP,04-FEB-2009,0,Mojave-Kern ...,35.0109602,-118.1902833
04-FEB-2009,DHC-6 Twin Otter 100,C-FCCE,04-FEB-2009,0,La Ronge Air...,55.0888047,-105.3090135
05-FEB-2009,Learjet 35A,XB-RYT,05-FEB-2009,0,Ciudad Victo...,-27.6708187,145.9225112
06-FEB-2009,Bombardier Global Express,N906JW,06-FEB-2009,0,St. Moritz-S...,46.4960592,9.8386578
07-FEB-2009,Cessna 650 Citation III,I-FEEV,07-FEB-2009,2,Trigoria,41.764652,12.4773104
