Date,Type,Registration,Operator,Fatalities,Location,Cat
02-JAN-1971,DH-106 Comet 4C,SU-ALC,02-JAN-1971,16.0,near Tripoli Inte...,A1
03-JAN-1971,DC-8,,03-JAN-1971,0.0,Havana-José ...,H2
04-JAN-1971,Douglas C-47A (DC-3),N7,04-JAN-1971,0.0,New York-La ...,A1
04-JAN-1971,SE-210 Caravelle III,F-BNKI,04-JAN-1971,0.0,Paris-Orly A...,O1
07-JAN-1971,Antonov An-2M,VT-DZB,07-JAN-1971,0.0,near Patna,A1
09-JAN-1971,Boeing 707-323C,N7595A,09-JAN-1971,0.0,"Edison, NJ",A2
10-JAN-1971,Scottish Aviation Twin Pioneer 3,G-ARBA,10-JAN-1971,,near Basra,U1
12-JAN-1971,Beech 99A,N12RA,12-JAN-1971,0.0,"Killeen, TX",A1
13-JAN-1971,C-7B Caribou (DHC-4),62-12584,13-JAN-1971,0.0,Dalat,A1
15-JAN-1971,Lockheed P2V-7 Neptune,147564,15-JAN-1971,6.0,near Ploemeur,A1
18-JAN-1971,Ilyushin Il-18D,LZ-BED,18-JAN-1971,45.0,near Zürich-Klote...,A1
19-JAN-1971,Hawker Siddeley HS-121 Trident 3B,G-AWZA,19-JAN-1971,0.0,Bedford-Thur...,A2
19-JAN-1971,DH-106 Comet 3B,XP915,19-JAN-1971,0.0,Bedford-Thur...,A2
20-JAN-1971,Curtiss C-46D,FAP-331 ?,20-JAN-1971,35.0,near Palca,A1
21-JAN-1971,Nord 262A-34,44/F-RBOA,21-JAN-1971,21.0,near Mézilhac,A1
21-JAN-1971,Rockwell 1121 Jet Commander,N400CP,21-JAN-1971,5.0,Lake Champla...,A1
21-JAN-1971,Ilyushin Il-18B,CCCP-75727,21-JAN-1971,0.0,near Rostov,A1
21-JAN-1971,Douglas C-47 (DC-3),FAC-653,21-JAN-1971,7.0,near Floridablanca,A1
22-JAN-1971,Antonov An-12B,CCCP-11000,22-JAN-1971,13.0,near Surgut Airpo...,A1
22-JAN-1971,Hawker Siddeley HS-748,9G-ABW,22-JAN-1971,0.0,Accra-Kotoka...,A1
22-JAN-1971,SE-210 Caravelle III,XU-JTA,22-JAN-1971,0.0,Phnom Penh-P...,O1
22-JAN-1971,Boeing 727,,22-JAN-1971,0.0,Havana-José ...,H2
22-JAN-1971,Douglas DC-3,,22-JAN-1971,0.0,Benghazi,H2
22-JAN-1971,Shorts SC.7 Skyvan 3M-400,T-701,22-JAN-1971,8.0,near Biak,A1
23-JAN-1971,Boeing 707-437,VT-DJI,23-JAN-1971,0.0,Bombay-Santa...,A1
23-JAN-1971,Fokker F-27 Friendship 500,HL5212,23-JAN-1971,2.0,near Sokcho,H1
25-JAN-1971,Vickers 749 Viscount,YV-C-AMV,25-JAN-1971,13.0,Paramo Los C...,A1
26-JAN-1971,Lockheed L-1049 Super Constellation,,26-JAN-1971,0.0,Cabo Rojo Ai...,H2
26-JAN-1971,Douglas C-47A (DC-3),43-15975,26-JAN-1971,,,A1
29-JAN-1971,DC-8-63,CF-CPQ,29-JAN-1971,0.0,Sydney-Kings...,A2
29-JAN-1971,Boeing 727-76,VH-TJA,29-JAN-1971,0.0,Sydney-Kings...,A2
31-JAN-1971,Antonov An-12B,CCCP-12996,31-JAN-1971,7.0,near Surgut,A1
02-FEB-1971,Fokker F-27 Friendship 100,VT-DMA,02-FEB-1971,0.0,Lahore Airpo...,H1
04-FEB-1971,DC-9,,04-FEB-1971,0.0,Havana-José ...,H2
07-FEB-1971,Ilyushin Il-14M,CCCP-91535,07-FEB-1971,0.0,Kirovsk Airp...,A1
10-FEB-1971,Curtiss C-46D,N10012,10-FEB-1971,0.0,Nondalton Ai...,A1
10-FEB-1971,Fairchild UC-123K Provider,56-4373,10-FEB-1971,5.0,near Phan Rang (PHA),A1
14-FEB-1971,Douglas C-47 (DC-3),N14273,14-FEB-1971,0.0,"near Shawnee, OK",A1
14-FEB-1971,Douglas C-47B (DC-3),N55L,14-FEB-1971,,Phnom Penh,A1
15-FEB-1971,Lockheed LC-130F Hercules,148318,15-FEB-1971,0.0,McMurdo-Will...,A1
16-FEB-1971,Antonov An-12TB,CCCP-11374,16-FEB-1971,0.0,Vorkuta Airp...,A1
17-FEB-1971,DC-9-15,N92S,17-FEB-1971,0.0,Gulfport Mun...,A2
17-FEB-1971,Curtiss C-46A,TAM-60,17-FEB-1971,12.0,Cunatincuta ...,A1
19-FEB-1971,Douglas C-54B (DC-4),FAC-692,19-FEB-1971,6.0,Barrancaberm...,A1
19-FEB-1971,Douglas C-47B (DC-3),N99H,19-FEB-1971,0.0,"Houston, TX",A1
