fatalities,date,type,registration,operator,location,cat,Latitude,Longitude
583,27-MAR-1977,Boeing 747-206B,PH-BUF,KLM,Spain,A1,39.3262345,-4.838064900000001
583,27-MAR-1977,Boeing 747-121,N736PA,Pan Am,Spain,A1,39.3262345,-4.838064900000001
520,12-AUG-1985,Boeing 747SR-46,JA8119,JAL,Japan,A1,36.5748441,139.2394179
349,12-NOV-1996,Ilyushin Il-76TD,UN-76435,Kazakhstan Airlines,India,A1,22.3511148,78.6677428
349,12-NOV-1996,Boeing 747-168B,HZ-AIH,Saudi Arabian,India,A1,22.3511148,78.6677428
346,03-MAR-1974,DC-10-10,TC-JAV,THY,France,A1,46.603354,1.8883335
329,23-JUN-1985,Boeing 747-237B,VT-EFO,Air-India,Atlantic Ocean,C1,13.581921,-38.320312
301,19-AUG-1980,Lockheed L-1011 TriStar 200,HZ-AHK,Saudi Arabian,Saudi Arabia,A1,25.624261800000006,42.3528328
298,17-JUL-2014,Boeing 777-2H6ER,9M-MRD,Malaysia Airlines,Ukraine,C1,49.4871968,31.2718321
290,03-JUL-1988,Airbus A300B2-203,EP-IBU,Iran Air,Iran,C1,32.6475314,54.56435160000001
275,19-FEB-2003,Ilyushin Il-76MD,15-2280,Iranian Revolutionary Guard,Iran,A1,32.6475314,54.56435160000001
271,25-MAY-1979,DC-10-10,N110AA,American Airlines,USA,A1,39.7837304,-100.4458825
269,01-SEP-1983,Boeing 747-230B,HL7442,KAL,Pacific Ocean,C1,-0.7031069999999999,-120.9375
264,26-APR-1994,Airbus A300B4-622R,B-1816,China Airlines,Japan,A1,36.5748441,139.2394179
261,11-JUL-1991,DC-8-61,C-GMXQ,"Nationair, op.for Nigeria Airways",Saudi Arabia,A1,25.624261800000006,42.3528328
260,12-NOV-2001,Airbus A300B4-605R,N14053,American Airlines,USA,A1,39.7837304,-100.4458825
259,21-DEC-1988,Boeing 747-121A,N739PA,Pan Am,U.K.,C1,54.70235450000001,-3.2765753
257,28-NOV-1979,DC-10-30,ZK-NZP,Air New Zealand,Antarctica,A1,-72.8438691,0.0
257,11-APR-2018,Ilyushin Il-76TD,7T-WIV,Algerian AF,Algeria,A1,28.0000272,2.9999825
256,12-DEC-1985,DC-8-63CF,N950JW,Arrow Air,Canada,A1,61.0666922,-107.9917071
239,08-MAR-2014,Boeing 777-2H6ER,9M-MRO,Malaysia Airlines,Indian Ocean,A1,-9.9999999,69.9999999
234,26-SEP-1997,Airbus A300B4-220,PK-GAI,Garuda,Indonesia,A1,-2.4833826,117.8902853
230,17-JUL-1996,Boeing 747-131,N93119,TWA,USA,A1,39.7837304,-100.4458825
229,02-SEP-1998,MD-11,HB-IWF,Swissair,Canada,A1,61.0666922,-107.9917071
228,06-AUG-1997,Boeing 747-3B5,HL7468,Korean Air,Guam,A1,13.4501257,144.757551
228,01-JUN-2009,Airbus A330-203,F-GZCP,Air France,Atlantic Ocean,A1,13.581921,-38.320312
225,25-MAY-2002,Boeing 747-209B,B-18255,China Airlines,Pacific Ocean,A1,-0.7031069999999999,-120.9375
224,31-OCT-2015,Airbus A321-231,EI-ETJ,Metrojet,Egypt,C1,26.2540493,29.2675469
223,26-MAY-1991,Boeing 767-3Z9ER,OE-LAV,Lauda Air,Thailand,A1,14.8971921,100.83273
217,31-OCT-1999,Boeing 767-366ER,SU-GAP,EgyptAir,Atlantic Ocean,C1,13.581921,-38.320312
213,01-JAN-1978,Boeing 747-237B,VT-EBD,Air-India,India,A1,22.3511148,78.6677428
200,10-JUL-1985,Tupolev Tu-154B-2,CCCP-85311,Aeroflot / Uzbekistan,Uzbekistan,A1,41.32373,63.9528098
196,16-FEB-1998,Airbus A300B4-622R,B-1814,China Airlines,Taiwan,A1,23.9739374,120.9820179
191,04-DEC-1974,Douglas DC-8-55F,PH-MBH,Martinair Holland,Sri Lanka,A1,7.555494199999999,80.7137847
189,29-OCT-2018,Boeing 737 MAX 8,PK-LQP,Lion Air,Indonesia,A1,-2.4833826,117.8902853
189,06-FEB-1996,Boeing 757-225,TC-GEN,"Birgenair, op.for Alas Nacionales",Atlantic Ocean,A1,13.581921,-38.320312
188,03-AUG-1975,Boeing 707-321C,JY-AEE,Alia,Morocco,A1,31.1728205,-7.3362482
187,17-JUL-2007,Airbus A320-233,PR-MBK,TAM Brasil,Brazil,A1,-10.3333333,-53.2
183,15-NOV-1978,DC-8-63CF,TF-FLA,"Loftleidir, opf Garuda",Sri Lanka,A1,7.555494199999999,80.7137847
183,09-MAY-1987,Ilyushin Il-62M,SP-LBG,LOT,Poland,A1,52.215933,19.134422
181,27-NOV-1983,Boeing 747-283B,HK-2910,Avianca,Spain,A1,39.3262345,-4.838064900000001
180,01-DEC-1981,DC-9-81 (MD-81),YU-ANA,Inex-Adria Aviopromet,France,A1,46.603354,1.8883335
178,11-AUG-1979,Tupolev Tu-134A,CCCP-65816,Aeroflot / Moldova,Ukraine,A1,49.4871968,31.2718321
178,11-AUG-1979,Tupolev Tu-134A,CCCP-65735,Aeroflot / Belarus,Ukraine,A1,49.4871968,31.2718321
176,10-SEP-1976,DC-9-32,YU-AJR,Inex-Adria Aviopromet,Croatia,A1,45.5643442,17.0118954
176,07-JUN-1989,DC-8-62,N1809E,Surinam Airways,Suriname,A1,4.1413025,-56.07711870000001
176,08-JAN-2020,Boeing 737-8KV (WL),UR-PSR,Ukraine International Airlines,Iran,C1,32.6475314,54.56435160000001
