Year,Airliner Accidents,Airliner Fatalities,Corp jet Accidents,Corp jet Fatalities,Hijackings,Hijacking Fatalities
2019,23,288,9,30,4,1
2018,18,561,7,26,1,0
2017,14,59,7,24,0,0
2016,17,258,5,20,2,0
2015,14,186,9,40,0,0
2014,20,692,12,54,3,0
2013,28,232,8,23,1,0
2012,24,477,6,26,3,2
2011,36,525,4,16,1,0
2010,32,943,5,18,1,0
2009,32,763,4,11,5,0
2008,35,595,9,39,3,0
2007,32,774,9,21,6,0
2006,33,905,13,51,3,0
2005,40,1075,6,23,1,0
2004,35,462,8,31,4,0
2003,34,705,11,25,9,0
2002,42,1000,8,21,10,2
2001,36,879,9,37,11,268
2000,43,1148,8,20,27,5
1999,44,478,9,37,13,2
1998,47,1194,6,15,14,1
1997,47,1164,10,31,12,1
1996,57,1844,11,64,17,125
1995,58,1207,12,59,12,1
1994,59,1454,10,49,27,8
1993,51,1134,7,33,36,4
1992,61,1546,6,31,11,4
1991,54,1151,14,76,20,6
1990,48,664,9,31,38,86
1989,65,1536,6,18,15,1
1988,59,1149,10,30,15,12
1987,46,1111,9,36,12,2
1986,45,828,9,33,16,87
1985,42,2010,12,40,26,65
1984,40,683,10,38,27,33
1983,36,862,8,34,34,12
1982,37,1175,6,41,32,1
1981,46,905,8,30,30,6
1980,48,1299,11,28,38,1
1979,78,1778,8,31,24,0
1978,65,1263,6,18,26,4
1977,61,1645,12,52,32,114
1976,67,1631,9,46,16,15
1975,57,1193,4,9,19,2
1974,70,1997,10,39,20,83
1973,71,2033,8,31,22,88
1972,75,2389,7,27,59,24
1971,52,1445,6,23,54,8
1970,78,1476,7,17,77,7
1969,71,1676,8,33,86,5
1968,66,1398,6,23,29,1
1967,66,1342,3,7,5,1
1966,63,1467,4,10,4,2
1965,58,1159,5,14,5,1
1964,49,1016,1,3,0,0
1963,57,1263,1,0,1,0
1962,73,1770,5,16,1,0
1961,64,1345,0,0,11,3
1960,75,1484,0,0,8,3
1959,72,1075,1,3,6,1
1958,75,1233,1,0,9,19
1957,76,977,0,0,0,0
1956,58,850,0,0,2,1
1955,64,630,0,0,0,0
1954,56,707,0,0,3,2
1953,74,976,0,0,0,0
1952,61,783,0,0,4,2
1951,69,948,0,0,1,0
1950,71,1124,0,0,4,0
1949,81,1109,0,0,7,1
1948,99,1303,0,0,7,26
1947,82,1083,0,0,0,0
1946,74,844,0,0,0,0
1945,39,333,0,0,0,0
1944,41,333,0,0,0,0
1943,38,303,0,0,0,0
1942,30,337,0,0,0,0
