number,country,accidents,fatalities,ground fat,Latitude,Longitude
1,USA,860,10820,133,39.7837304,-100.4458825
2,Russia,530,8418,25,64.6863136,97.7453061
3,Canada,191,1800,2,61.0666922,-107.9917071
4,Brazil,189,2724,68,-10.333333300000001,-53.2
5,Colombia,183,2932,28,2.8894433999999998,-73.78389200000001
6,U.K.,110,1298,11,54.702354500000006,-3.2765752999999997
7,France,105,2247,15,46.603353999999996,1.8883334999999999
8,Indonesia,104,2301,52,-2.4833826,117.89028529999999
9,Mexico,101,1277,52,22.5000485,-100.0000375
10,India,95,2352,27,22.3511148,78.6677428
11,China,75,1743,56,35.000074,104.999927
12,Venezuela,69,1119,71,8.0018709,-66.1109318
13,Italy,68,1310,6,42.6384261,12.674297
14,Ukraine,64,1338,9,49.4871968,31.2718321
15,D.R. Congo,64,719,77,34.0191899,-6.8452760999999995
16,Bolivia,62,644,88,-17.056869600000002,-64.9912286
17,Peru,61,1345,5,-6.8699697,-75.0458515
18,Germany,61,939,1,51.0834196,10.4234469
19,Philippines,61,875,7,12.750348599999999,122.7312101
20,Spain,55,2357,0,39.3262345,-4.838064900000001
21,Australia,51,398,0,-24.7761086,134.755
22,Atlantic Ocean,50,1203,0,13.581921,-38.320312
23,P.N. Guinea,49,368,2,8.500392300000001,-82.5923574
24,Kazakhstan,44,742,0,47.2286086,65.20931970000001
25,Argentina,43,819,3,-34.9964963,-64.9672817
